track_name,n_rows,stage,model_id,model_label,n_features,n_repeats,median_seconds,q1_seconds,q3_seconds,median_stage_peak_rss_mb,q1_stage_peak_rss_mb,q3_stage_peak_rss_mb,median_process_peak_rss_mb,n_jobs_cap
Random_Promoter_DREAM_base_track_2,5000,combined_grammar_proxy_feature_construction,,,652,3,4.140776200016262,4.137692300006165,4.635330450008041,216.83984375,210.603515625,228.69921875,310.57421875,8
Random_Promoter_DREAM_base_track_2,5000,data_loading_and_cleaning,,,0,3,0.0685356000030879,0.061291550009627827,0.07199530000798404,165.8203125,165.78515625,165.859375,310.57421875,8
Random_Promoter_DREAM_base_track_2,5000,model_fit_and_prediction,N09_ATLAS_FullTheory_MLP,Combined grammar/proxy MLP,652,3,9.996964099991601,6.598850099995616,10.061264100004337,253.37109375,253.166015625,253.501953125,310.57421875,8
Random_Promoter_DREAM_base_track_2,5000,model_fit_and_prediction,Representative_ExtraTrees,Representative tree-ensemble head,642,3,3.1010822000098415,2.9810360000265064,3.5983836500090547,216.46875,216.271484375,216.478515625,310.57421875,8
Random_Promoter_DREAM_base_track_2,5000,model_fit_and_prediction,Representative_HistGradientBoosting,Representative boosting head,642,3,6.115496599988546,5.808001049983432,6.723882899983437,310.57421875,306.072265625,310.828125,310.57421875,8
Random_Promoter_DREAM_base_track_2,5000,model_fit_and_prediction,Representative_Ridge,Representative linear head,642,3,0.10968730004969984,0.10763280003448017,0.1418985000345856,200.40625,198.673828125,212.826171875,310.57421875,8
Random_Promoter_DREAM_base_track_2,5000,sequence_hash_and_exact_duplicate_check,,,0,3,0.005867300002137199,0.005709250006475486,0.009545300010358915,165.83984375,165.810546875,165.87890625,310.57421875,8
Random_Promoter_DREAM_base_track_2,10000,combined_grammar_proxy_feature_construction,,,652,3,8.67416769999545,8.606288449998829,8.713498800003435,314.5,293.513671875,320.8203125,392.1953125,8
Random_Promoter_DREAM_base_track_2,10000,data_loading_and_cleaning,,,0,3,0.14230780000798404,0.13640345000021625,0.21323505000327714,169.890625,169.73828125,170.15625,392.1953125,8
Random_Promoter_DREAM_base_track_2,10000,model_fit_and_prediction,N09_ATLAS_FullTheory_MLP,Combined grammar/proxy MLP,652,3,17.105802799982484,13.41632915000082,21.491634849982802,321.39453125,320.81640625,321.720703125,392.1953125,8
Random_Promoter_DREAM_base_track_2,10000,model_fit_and_prediction,Representative_ExtraTrees,Representative tree-ensemble head,642,3,6.7331321999954525,6.716581050000968,6.8919928499963135,263.69921875,263.345703125,263.888671875,392.1953125,8
Random_Promoter_DREAM_base_track_2,10000,model_fit_and_prediction,Representative_HistGradientBoosting,Representative boosting head,642,3,5.416088900004979,5.365022700018017,5.434597000028589,392.1953125,390.91015625,397.4765625,392.1953125,8
Random_Promoter_DREAM_base_track_2,10000,model_fit_and_prediction,Representative_Ridge,Representative linear head,642,3,0.13925190002191812,0.13753820001147687,0.14037105001625605,258.70703125,249.197265625,258.888671875,392.1953125,8
Random_Promoter_DREAM_base_track_2,10000,sequence_hash_and_exact_duplicate_check,,,0,3,0.011944300000322983,0.011402949996409006,0.012082800007192418,169.90234375,169.87890625,170.173828125,392.1953125,8
Random_Promoter_DREAM_base_track_2,25000,combined_grammar_proxy_feature_construction,,,652,3,23.418081699986942,23.15028549998533,25.68379179999465,523.54296875,508.5859375,539.71875,691.11328125,8
