track_name,read_status,n_rows_seen_or_sampled,unique_sequence_hashes,unique_ids,seq_col,id_col,target_col
Random_Promoter_DREAM_base_track,ok,150000,139904,150000,sequence,id,target
PARM_GSE301246_held_out_context_track_TaskB,ok,662,331,662,sequence,id,target
PARM_GSE301246_Task_C_stress_test,ok,148392,16486,148392,sequence,id,target
GSE221384_context_track,ok,150000,12499,150000,sequence,id,target
Random_Promoter_DREAM_base_track_2,ok,71103,39069,71103,sequence,id,target
Random_Promoter_DREAM_base_track_3,ok,150000,150000,150000,sequence,id,target
Random_Promoter_DREAM_base_track_4,ok,149999,149999,149999,sequence,id,target
PARM_GSE301246_held_out_context_track,ok,6000,500,6000,sequence,id,target
PARM_GSE301246_held_out_context_track_2,ok,150000,12499,150000,sequence,id,target
PARM_GSE301246_held_out_context_track_3,ok,50,50,50,sequence,id,target
PARM_GSE301246_held_out_context_track_4,ok,50,50,50,sequence,id,target
PARM_GSE301246_held_out_context_track_5,ok,50,50,50,sequence,id,target
PARM_GSE301246_held_out_context_track_6,ok,50,50,50,sequence,id,target
PARM_GSE301246_held_out_context_track_7,ok,50,50,50,sequence,id,target
Random_Promoter_DREAM_base_track_5,ok,71103,39069,71103,sequence,id,target
Random_Promoter_DREAM_base_track_6,ok,149999,149999,149999,sequence,id,target
Random_Promoter_DREAM_base_track_7,ok,149999,149999,149999,sequence,id,target
Random_Promoter_DREAM_base_track_8,ok,20000,20000,20000,sequence,id,target
Random_Promoter_DREAM_base_track_9,ok,20000,13871,20000,sequence,id,target
Random_Promoter_DREAM_base_track_10,ok,100000,100000,100000,sequence,id,target
Random_Promoter_DREAM_base_track_11,ok,20000,20000,20000,sequence,id,target
Random_Promoter_DREAM_base_track_12,ok,20000,20000,20000,sequence,id,target
Random_Promoter_DREAM_base_track_13,ok,20000,13871,20000,sequence,id,target
Random_Promoter_DREAM_base_track_14,ok,100000,100000,100000,sequence,id,target
Random_Promoter_DREAM_base_track_15,ok,100000,100000,100000,sequence,id,target
Random_Promoter_DREAM_base_track_16,ok,149258,149258,149258,sequence,id,target
Random_Promoter_DREAM_base_track_17,ok,20000,20000,20000,sequence,id,target
Random_Promoter_DREAM_base_track_18,ok,20000,13871,20000,sequence,id,target
Random_Promoter_DREAM_base_track_19,ok,100000,100000,100000,sequence,id,target
Random_Promoter_DREAM_base_track_20,ok,20000,20000,20000,sequence,id,target
extra_test_inregime_predictions_v0,ok,80000,20000,80000,sequence,id,target
extra_test_maude_shift_predictions_v0,ok,80000,13871,80000,sequence,id,target
extra_val_inregime_predictions_v0,ok,80000,20000,80000,sequence,id,target
