track_name,model_name,uncertainty_bin,n,mean_uncertainty,mean_abs_error
extra_test_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(0.999, 4000.8]",4000,0.1287646477321536,6.759420764941599
extra_test_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(4000.8, 8000.6]",4000,0.1712464379120551,6.761074687452048
extra_test_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(8000.6, 12000.4]",4000,0.2045202259460926,6.834686929827905
extra_test_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(12000.4, 16000.2]",4000,0.2479935792688323,7.035976632491374
extra_test_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(16000.2, 20000.0]",4000,0.3688171189304604,7.65439115583769
extra_test_maude_shift_predictions_v0,T05_uncertainty_ensemble_proxy,"(0.999, 4000.8]",4000,0.0599349906378419,7.040369875089296
extra_test_maude_shift_predictions_v0,T05_uncertainty_ensemble_proxy,"(4000.8, 8000.6]",4000,0.0826755686414688,7.168295733340581
extra_test_maude_shift_predictions_v0,T05_uncertainty_ensemble_proxy,"(8000.6, 12000.4]",4000,0.1002203048114474,7.349914671623666
extra_test_maude_shift_predictions_v0,T05_uncertainty_ensemble_proxy,"(12000.4, 16000.2]",4000,0.1233245305727455,7.696954641642904
extra_test_maude_shift_predictions_v0,T05_uncertainty_ensemble_proxy,"(16000.2, 20000.0]",4000,0.197584135580734,9.024627963597862
extra_val_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(0.999, 4000.8]",4000,0.1242061589931412,6.780899764382344
extra_val_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(4000.8, 8000.6]",4000,0.164649419563737,6.811374991807358
extra_val_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(8000.6, 12000.4]",4000,0.1960160124622346,6.926274902521661
extra_val_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(12000.4, 16000.2]",4000,0.2361422699793058,7.077071623293872
extra_val_inregime_predictions_v0,T05_uncertainty_ensemble_proxy,"(16000.2, 20000.0]",4000,0.3473525404995092,7.748095028277534
GSE221384_context_track,T05_uncertainty_ensemble_proxy,"(0.999, 7500.8]",7500,0.1097100426197087,1.2447345852629113
GSE221384_context_track,T05_uncertainty_ensemble_proxy,"(7500.8, 15000.6]",7500,0.1401365039258376,1.2784919587162695
GSE221384_context_track,T05_uncertainty_ensemble_proxy,"(15000.6, 22500.4]",7500,0.1624492824994943,1.3254576683396653
GSE221384_context_track,T05_uncertainty_ensemble_proxy,"(22500.4, 30000.2]",7500,0.1881761245632311,1.3546127622761277
GSE221384_context_track,T05_uncertainty_ensemble_proxy,"(30000.2, 37500.0]",7500,0.2402432210081868,1.442986366082732
PARM_GSE301246_held_out_context_track,T05_uncertainty_ensemble_proxy,"(0.999, 300.8]",300,8.635560496793527,15.3265139711231
PARM_GSE301246_held_out_context_track,T05_uncertainty_ensemble_proxy,"(300.8, 600.6]",300,11.92835684500146,18.854759766034817
PARM_GSE301246_held_out_context_track,T05_uncertainty_ensemble_proxy,"(600.6, 900.4]",300,14.379388473023836,23.090882102786352
PARM_GSE301246_held_out_context_track,T05_uncertainty_ensemble_proxy,"(900.4, 1200.2]",300,18.46764216701197,29.749185943847188
